Sort Code,person_age,person_income,person_home_ownership,person_emp_length,home_ownership,mortgage_debt,rent,li_debt_consolidation,li_education,li_home_improvement,li_medical,li_personal,li_venture,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
2046,25,30000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,A,9000,7.51,0,0.3,0,4
2063,22,30000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,C,5000,13.23,0,0.17,0,4
2108,23,30000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,6500,7.74,0,0.22,0,4
2127,24,30000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,C,6000,13.57,0,0.2,0,2
2157,21,30000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,A,14000,9.38,0,0.47,0,4
2195,25,30576,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,10000,6.03,0,0.33,0,4
2256,22,31000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,C,5000,13.79,0,0.16,0,4
2264,23,31164,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,4500,6.62,0,0.14,0,2
2282,23,31200,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,7550,9.99,0,0.24,0,4
2286,25,31200,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,6000,5.79,0,0.19,0,4
2297,22,31200,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,1050,7.51,1,0.03,0,4
2360,25,32000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,A,5600,7.9,0,0.17,0,3
2406,25,32000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,6250,11.49,0,0.2,0,3
2433,23,32000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,B,15000,11.58,0,0.47,0,4
2440,25,32000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,C,8000,13.16,0,0.25,0,2
2441,21,32000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,4200,11.58,0,0.13,0,2
2489,25,32400,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,4800,7.29,0,0.15,0,4
2500,22,32400,MORTGAGE,1,0,1,0,1,0,0,0,0,0,A,5500,,0,0.17,0,2
2512,22,32500,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,2500,6.99,0,0.08,0,3
2514,22,32500,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,14500,11.99,0,0.45,0,4
2579,22,33000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,12375,7.29,0,0.38,0,2
2635,24,33360,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,6000,10.59,0,0.18,0,3
2659,23,33600,MORTGAGE,,0,1,0,1,0,0,0,0,0,C,4000,14.79,0,0.12,0,2
2698,23,33990,MORTGAGE,2,0,1,0,1,0,0,0,0,0,C,1000,10.59,1,0.03,0,2
2721,26,34000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,12000,6.03,0,0.35,0,4
2724,25,34000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,B,10000,12.42,0,0.29,0,3
2726,23,34000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,10000,6.99,0,0.29,0,4
2731,25,34000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,2000,7.66,1,0.06,0,4
2758,23,34000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,19000,11.48,0,0.56,0,4
2799,26,34515,MORTGAGE,11,0,1,0,1,0,0,0,0,0,A,5400,7.68,0,0.16,0,4
2806,24,34600,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,4000,5.42,0,0.12,0,2
2814,25,34800,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,5125,6.99,1,0.15,0,2
2815,25,34800,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,9450,5.99,0,0.27,0,4
2824,22,34900,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,4000,9.99,0,0.11,0,2
2834,23,35000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,12000,12.42,0,0.34,0,2
2853,22,35000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,9500,6.03,0,0.27,0,3
2857,25,35000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,7000,,0,0.2,0,2
2894,21,35000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,15000,,0,0.43,0,4
2902,21,35000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,4800,10.99,0,0.14,0,3
2904,24,35000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,4800,5.42,0,0.14,0,3
2926,22,29000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,9000,,1,0.31,0,4
2976,21,35000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,13650,7.51,0,0.39,0,4
3091,25,35138,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,1000,,0,0.03,0,3
3108,23,35375,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,5600,6.76,0,0.16,0,3
3121,24,35500,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,14500,,0,0.41,0,3
3128,22,29554,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,5775,5.42,1,0.2,0,3
3179,26,30000,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,8000,6.62,1,0.27,0,4
3183,23,30000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,B,4800,10.65,1,0.16,0,3
3228,22,36000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,5975,7.42,0,0.17,0,4
3232,21,36000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,4000,5.99,0,0.11,0,4
3239,23,36000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,6400,11.49,0,0.18,0,3
3256,24,36000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,7000,11.11,0,0.19,0,4
3296,22,36000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,1800,6.17,0,0.05,0,4
3300,22,36000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,10000,5.42,0,0.28,0,3
3335,25,36000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,9000,7.14,0,0.25,0,4
3388,23,36000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,C,3000,13.22,0,0.08,0,4
3394,26,36000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,6350,8.94,0,0.18,0,4
3402,21,36000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,A,8000,9.32,0,0.22,0,3
3407,22,36000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,10000,8.32,0,0.28,0,3
3445,25,36500,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,3200,9.63,0,0.09,0,3
3449,26,36588,MORTGAGE,,0,1,0,1,0,0,0,0,0,B,10000,10.65,0,0.27,0,3
3450,22,36600,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,9950,7.29,0,0.27,0,3
3453,21,36648,MORTGAGE,,0,1,0,1,0,0,0,0,0,B,7125,9.91,0,0.19,0,2
3509,22,37000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,15000,6.54,0,0.41,0,3
3513,22,37000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,13000,7.88,0,0.35,0,4
3587,26,37500,MORTGAGE,4,0,1,0,1,0,0,0,0,0,A,7000,6.54,0,0.19,0,4
3590,24,37500,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,5600,8.94,0,0.15,0,4
3628,22,38000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,6000,7.51,0,0.16,0,4
3648,22,38000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,8500,5.42,0,0.22,0,2
3668,25,32000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,B,8000,10.36,1,0.25,0,2
3705,22,38000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,10000,12.21,0,0.26,0,3
3746,26,38244,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,18000,9.63,0,0.47,0,3
3791,22,38400,MORTGAGE,4,0,1,0,1,0,0,0,0,0,A,10000,5.42,0,0.26,0,2
3794,25,38400,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,10000,7.29,0,0.26,0,2
3805,26,38400,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,6000,7.51,0,0.16,0,3
3839,26,32496,MORTGAGE,8,0,1,0,1,0,0,0,0,0,D,4200,16.02,1,0.13,0,3
3846,23,38500,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,3000,,0,0.08,0,2
3849,22,38628,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,4800,9.99,0,0.12,0,4
3895,25,39000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,6000,7.51,0,0.15,0,2
3957,26,33660,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,4500,5.99,1,0.13,0,2
4020,22,39996,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,6000,8,0,0.15,0,3
4028,24,39996,MORTGAGE,8,0,1,0,1,0,0,0,0,0,C,7500,12.22,0,0.19,0,4
4050,22,40000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,C,12000,13.49,0,0.3,0,2
4058,23,40000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,B,6000,10.65,0,0.15,0,4
4062,25,40000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,C,7100,,0,0.18,0,2
4091,24,40000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,A,4500,6.62,0,0.11,0,3
4092,22,40000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,2000,7.9,0,0.05,0,2
4159,25,40000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,C,3500,13.49,0,0.09,0,3
4163,22,40000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,7500,11.49,0,0.19,0,3
4169,24,40000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,3000,11.99,0,0.07,0,4
4176,24,40000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,10000,5.79,0,0.25,0,4
4192,24,40000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,5000,11.11,0,0.13,0,2
4205,21,40000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,8000,6.92,0,0.2,0,4
4224,24,34000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,D,7000,14.09,1,0.21,0,2
4240,21,40000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,6000,5.79,0,0.15,0,3
4299,25,40000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,A,10000,7.14,0,0.25,0,4
4302,25,40000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,4750,,0,0.12,0,3
4308,24,40000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,A,4000,7.14,0,0.1,0,4
4316,24,40000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,B,15000,9.88,0,0.38,0,2
4341,24,40000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,3400,7.4,0,0.09,0,3
4359,22,40000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,7000,9.32,0,0.17,0,3
4402,22,40000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,8000,9.76,0,0.2,0,4
4411,23,34000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,D,2525,13.12,1,0.07,0,3
4485,22,34900,MORTGAGE,4,0,1,0,1,0,0,0,0,0,D,3600,15.7,1,0.1,0,4
4500,21,41000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,A,7000,6.03,0,0.17,0,3
4526,24,41000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,9000,9.88,0,0.22,0,2
4528,22,41000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,B,7750,9.88,0,0.19,0,3
4542,23,41000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,6000,9.32,0,0.15,0,3
4549,23,41000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,5500,10.71,0,0.13,0,4
4560,21,41033,MORTGAGE,2,0,1,0,1,0,0,0,0,0,C,5700,12.99,0,0.14,0,4
4591,22,41600,MORTGAGE,0,0,1,0,1,0,0,0,0,0,B,6800,10.59,0,0.16,0,3
4605,22,41784,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,5000,6.03,0,0.12,0,2
4617,24,42000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,19200,7.9,0,0.46,0,2
4619,25,42000,MORTGAGE,,0,1,0,1,0,0,0,0,0,B,3000,9.91,0,0.07,0,4
4624,22,36000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,4000,12.69,1,0.11,0,4
4648,22,42000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,9350,12.69,0,0.22,0,2
4731,21,42000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,A,2500,7.29,0,0.06,0,4
4734,24,42000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,B,22250,11.11,0,0.53,0,3
4774,22,36000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,D,7000,14.84,1,0.19,0,3
4792,23,42000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,11000,7.88,0,0.26,0,2
4829,25,42000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,7000,8.59,0,0.17,0,3
4830,25,36000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,C,13750,13.22,1,0.38,0,4
4894,25,42348,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,8000,,0,0.19,0,2
4905,24,42500,MORTGAGE,8,0,1,0,1,0,0,0,0,0,C,10000,13.8,0,0.24,0,2
4924,21,36588,MORTGAGE,5,0,1,0,1,0,0,0,0,0,D,1000,14.61,1,0.03,0,2
4957,24,43000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,A,9500,6.62,0,0.22,0,2
4977,23,43000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,7200,10.59,0,0.17,0,3
5000,22,43000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,A,4000,7.88,0,0.09,0,4
5005,24,37000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,6250,7.14,1,0.17,0,4
5009,25,43000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,10000,7.88,0,0.23,0,3
5014,24,43000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,C,9250,13.11,0,0.22,0,2
5018,23,43000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,9800,8.59,0,0.23,0,2
5061,23,37200,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,4000,7.66,1,0.11,0,2
5077,26,37200,MORTGAGE,10,0,1,0,1,0,0,0,0,0,C,16000,13.11,1,0.43,0,2
5095,24,43300,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,24000,10.62,0,0.55,0,2
5111,23,37700,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,10000,9.63,1,0.27,0,3
5136,21,44000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,12000,,0,0.27,0,2
5153,22,44000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,7200,7.29,0,0.16,0,3
5160,24,44000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,A,10750,6.17,0,0.24,0,3
5190,22,44000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,B,18900,10.14,0,0.43,0,2
5192,22,38004,MORTGAGE,7,0,1,0,1,0,0,0,0,0,D,3600,17.27,1,0.09,0,4
5211,23,38400,MORTGAGE,2,0,1,0,1,0,0,0,0,0,D,15000,17.27,1,0.39,0,3
5214,25,44400,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,6000,6.03,0,0.14,0,2
5227,26,44470,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,4000,6.76,0,0.09,0,2
5260,23,45000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,B,10000,11.71,0,0.22,0,3
5320,24,39000,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,7000,7.49,1,0.18,0,3
5350,23,45000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,6000,7.49,0,0.13,0,3
5360,25,45000,MORTGAGE,8,0,1,0,1,0,0,0,0,0,A,4000,6.62,0,0.09,0,4
5381,23,45000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,7000,5.42,0,0.16,0,3
5383,21,45000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,6250,5.42,0,0.14,0,3
5410,25,45000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,4325,6.91,0,0.1,0,3
5411,23,45000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,1450,,0,0.03,0,2
5412,25,45000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,B,4000,9.25,0,0.09,0,3
5422,26,45000,MORTGAGE,10,0,1,0,1,0,0,0,0,0,A,10000,6.91,0,0.22,0,4
5474,21,45000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,A,8000,7.51,0,0.18,0,4
5523,25,45000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,4000,8.59,0,0.09,0,3
5532,25,45000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,3200,7.74,0,0.07,0,3
5533,26,45000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,A,1500,7.05,0,0.03,0,2
5574,26,39000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,D,5000,13.67,1,0.13,0,3
5611,23,45288,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,20500,9.25,0,0.45,0,2
5642,24,45600,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,7200,6.91,0,0.16,0,4
5656,22,39600,MORTGAGE,6,0,1,0,1,0,0,0,0,0,C,4650,10.28,1,0.12,0,4
5668,22,45900,MORTGAGE,1,0,1,0,1,0,0,0,0,0,A,6400,8.59,0,0.14,0,3
5697,24,46000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,10075,12.42,0,0.22,0,2
5748,22,46000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,6000,7.68,0,0.13,0,2
5760,25,46116,MORTGAGE,9,0,1,0,1,0,0,0,0,0,C,10000,11.03,0,0.22,0,3
5782,24,40500,MORTGAGE,8,0,1,0,1,0,0,0,0,0,B,8500,10.99,1,0.21,0,3
5799,24,46800,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,12000,6.99,0,0.26,0,2
5807,21,46800,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,5000,7.51,0,0.11,0,3
5826,22,41000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,7000,7.9,1,0.17,0,4
5873,24,47000,MORTGAGE,1,0,1,0,1,0,0,0,0,0,B,8500,,0,0.18,0,3
5913,22,41244,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,11500,11.58,1,0.28,0,3
5928,24,47500,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,12000,9.91,0,0.25,0,3
5961,22,47940,MORTGAGE,4,0,1,0,1,0,0,0,0,0,B,15000,,0,0.31,0,4
5964,26,48000,MORTGAGE,10,0,1,0,1,0,0,0,0,0,C,11000,13.49,0,0.23,0,3
6005,23,48000,MORTGAGE,7,0,1,0,1,0,0,0,0,0,B,2500,11.71,0,0.05,0,3
6029,22,48000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,4400,5.99,0,0.09,0,3
6032,26,48000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,C,12000,,0,0.25,0,3
6043,21,42000,MORTGAGE,5,0,1,0,1,0,0,0,0,0,B,8325,,1,0.2,0,2
6083,25,48000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,4800,10.74,0,0.1,0,4
6107,24,48000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,B,4800,9.99,0,0.1,0,2
6112,24,48000,MORTGAGE,4,0,1,0,1,0,0,0,0,0,B,12000,,0,0.25,0,3
6152,25,48000,MORTGAGE,3,0,1,0,1,0,0,0,0,0,A,4000,7.14,0,0.08,0,3
6202,24,42000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,3500,8.94,1,0.08,0,3
6248,22,48000,MORTGAGE,0,0,1,0,1,0,0,0,0,0,A,4800,9.07,0,0.1,0,3
6268,22,48156,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,3000,,0,0.06,0,2
6302,24,48800,MORTGAGE,7,0,1,0,1,0,0,0,0,0,A,9000,7.49,0,0.18,0,2
6322,23,49000,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,9600,5.42,0,0.2,0,3
6329,24,43000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,3000,10.99,1,0.07,0,3
6332,25,49000,MORTGAGE,9,0,1,0,1,0,0,0,0,0,A,7000,6.99,0,0.14,0,3
6354,22,49000,MORTGAGE,2,0,1,0,1,0,0,0,0,0,B,8500,12.53,0,0.17,0,2
6371,22,49200,MORTGAGE,,0,1,0,1,0,0,0,0,0,A,21000,7.51,0,0.43,0,4
6386,24,49344,MORTGAGE,6,0,1,0,1,0,0,0,0,0,B,8500,9.99,0,0.17,0,4
6396,25,49500,MORTGAGE,2,0,1,0,1,0,0,0,0,0,A,2400,7.51,0,0.05,0,2
6402,22,49536,MORTGAGE,6,0,1,0,1,0,0,0,0,0,A,5200,6.62,0,0.1,0,2
