Sort Code,person_age,person_income,person_emp_length,home_ownership,mortgage_debt,rent,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
230,21,14400,0,0,1,0,MEDICAL,C,1500,,0,0.1,0,4
238,24,183000,2,0,1,0,MEDICAL,B,20000,11.49,0,0.11,0,3
239,22,183000,3,0,1,0,EDUCATION,A,1000,,0,0.01,0,2
240,25,182952,9,0,1,0,PERSONAL,A,15000,6.03,0,0.08,0,3
249,23,180000,8,0,1,0,PERSONAL,A,28000,7.51,0,0.16,0,3
254,24,180000,7,0,1,0,VENTURE,B,14000,11.99,0,0.08,0,2
255,26,180000,2,0,1,0,VENTURE,B,12000,9.63,0,0.07,0,4
256,25,142800,9,0,1,0,MEDICAL,F,10000,18.25,1,0.06,0,4
257,23,14664,0,0,1,0,DEBTCONSOLIDATION,C,6000,,1,0.41,0,4
268,25,180000,3,0,1,0,VENTURE,B,9950,11.26,0,0.06,0,2
281,26,175000,3,0,1,0,VENTURE,A,2600,8.9,0,0.01,0,4
282,25,175000,10,0,1,0,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,0,2
283,22,175000,6,0,1,0,EDUCATION,B,18000,,0,0.1,0,2
284,23,175000,8,0,1,0,PERSONAL,B,21000,11.99,0,0.12,0,3
293,23,15000,0,0,1,0,PERSONAL,C,3600,13.47,1,0.24,0,4
298,23,175000,3,0,1,0,EDUCATION,A,7200,8.38,0,0.04,0,3
300,25,174000,2,0,1,0,DEBTCONSOLIDATION,C,8800,14.27,0,0.05,0,3
303,26,173467,10,0,1,0,VENTURE,B,10000,11.71,0,0.06,0,4
306,21,15120,0,0,1,0,EDUCATION,B,1500,10.59,0,0.1,0,2
309,23,15204,7,0,1,0,PERSONAL,A,2800,8.49,1,0.18,0,3
312,25,170004,3,0,1,0,MEDICAL,B,10000,11.11,0,0.06,0,4
319,25,170000,2,0,1,0,EDUCATION,A,20000,7.49,0,0.12,0,2
337,25,168000,2,0,1,0,PERSONAL,B,35000,10.65,0,0.21,0,2
347,23,165000,3,0,1,0,EDUCATION,A,9600,5.99,0,0.06,0,3
349,24,165000,5,0,1,0,PERSONAL,B,20000,10.37,0,0.12,0,4
350,25,165000,0,0,1,0,HOMEIMPROVEMENT,F,25000,19.74,0,0.15,0,4
351,21,165000,5,0,1,0,EDUCATION,A,20000,6.91,0,0.12,0,4
356,23,16000,1,0,1,0,MEDICAL,C,5600,12.84,1,0.35,0,4
358,22,16094,2,0,1,0,VENTURE,A,5500,7.14,1,0.34,0,3
364,22,160000,0,0,1,0,MEDICAL,B,35000,10.65,0,0.22,0,4
371,22,16800,5,0,1,0,EDUCATION,B,2000,10.65,0,0.12,0,2
373,23,160000,5,0,1,0,PERSONAL,A,35000,7.66,0,0.22,0,2
374,24,160000,9,0,1,0,VENTURE,E,12000,16.77,0,0.07,0,4
375,25,160000,1,0,1,0,PERSONAL,B,12000,9.63,0,0.07,0,4
377,25,125800,0,0,1,0,MEDICAL,D,10000,14.09,1,0.07,0,4
380,24,16800,,0,1,0,DEBTCONSOLIDATION,A,3900,,1,0.23,0,3
389,25,160000,2,0,1,0,EDUCATION,A,9000,,0,0.06,0,3
391,24,160000,3,0,1,0,VENTURE,D,20000,16,0,0.13,0,3
393,26,160000,0,0,1,0,DEBTCONSOLIDATION,C,13750,,0,0.09,0,4
398,21,16800,0,0,1,0,VENTURE,B,6000,10.39,1,0.36,0,4
411,22,17400,6,0,1,0,VENTURE,B,1000,11.36,0,0.06,0,2
454,23,18000,1,0,1,0,MEDICAL,D,2500,15.95,1,0.14,0,2
470,24,18000,0,0,1,0,DEBTCONSOLIDATION,B,10000,12.18,1,0.56,0,2
475,25,18000,1,0,1,0,MEDICAL,B,4000,,1,0.22,0,3
493,24,18500,8,0,1,0,PERSONAL,A,5000,9.32,1,0.27,0,3
502,25,18840,5,0,1,0,EDUCATION,B,3000,9.91,1,0.16,0,2
518,21,19012,0,0,1,0,DEBTCONSOLIDATION,D,3500,14.61,1,0.18,0,3
521,22,19200,6,0,1,0,PERSONAL,B,4950,11.71,1,0.26,0,2
530,24,19200,,0,1,0,HOMEIMPROVEMENT,A,7000,5.99,1,0.36,0,4
546,23,19200,7,0,1,0,MEDICAL,A,3000,,1,0.16,0,4
551,26,19200,5,0,1,0,VENTURE,A,4000,7.51,1,0.21,0,4
556,22,19200,3,0,1,0,MEDICAL,D,5000,15.33,1,0.26,0,3
568,21,19253,,0,1,0,DEBTCONSOLIDATION,A,6250,6.17,1,0.32,0,3
572,21,19500,0,0,1,0,EDUCATION,B,15000,9.64,1,0.77,0,2
586,23,20000,2,0,1,0,MEDICAL,B,6400,10.65,0,0.32,0,4
592,26,20000,5,0,1,0,MEDICAL,A,4800,5.99,0,0.24,0,3
611,25,20000,1,0,1,0,VENTURE,A,4000,5.79,0,0.2,0,2
626,26,20000,1,0,1,0,PERSONAL,A,1500,7.74,0,0.07,0,3
641,22,20000,0,0,1,0,PERSONAL,B,16600,9.76,0,0.83,0,3
644,23,20004,6,0,1,0,PERSONAL,A,7125,6.99,0,0.36,0,2
648,26,20004,4,0,1,0,HOMEIMPROVEMENT,B,3600,,0,0.18,0,2
656,26,20280,5,0,1,0,HOMEIMPROVEMENT,A,7000,8,0,0.35,0,2
666,24,20400,5,0,1,0,DEBTCONSOLIDATION,B,5500,10.99,0,0.27,0,4
712,22,21000,4,0,1,0,DEBTCONSOLIDATION,B,3000,11.49,0,0.14,0,3
724,25,21221,4,0,1,0,VENTURE,B,8500,9.63,0,0.4,0,4
731,21,21600,6,0,1,0,PERSONAL,A,7575,,0,0.35,0,3
742,22,21600,,0,1,0,EDUCATION,A,4025,5.42,0,0.19,0,4
743,24,21600,8,0,1,0,MEDICAL,A,8000,5.42,0,0.37,0,2
745,22,21600,,0,1,0,PERSONAL,C,4000,12.99,0,0.19,0,2
747,22,21600,6,0,1,0,VENTURE,C,1400,,0,0.06,0,2
750,21,21600,2,0,1,0,DEBTCONSOLIDATION,A,3800,5.99,0,0.18,0,2
760,23,21600,7,0,1,0,EDUCATION,A,2000,6.17,0,0.09,0,4
764,26,21600,0,0,1,0,HOMEIMPROVEMENT,B,1000,10.36,0,0.05,0,3
769,24,21600,0,0,1,0,DEBTCONSOLIDATION,D,2000,14.84,1,0.09,0,2
778,21,21600,2,0,1,0,DEBTCONSOLIDATION,B,10000,11.14,0,0.46,0,2
783,21,21816,2,0,1,0,PERSONAL,B,1500,11.86,0,0.07,0,3
786,24,21948,2,0,1,0,VENTURE,D,4000,,0,0.18,0,2
794,22,22000,6,0,1,0,EDUCATION,B,7000,11.71,0,0.32,0,2
797,26,22000,3,0,1,0,DEBTCONSOLIDATION,B,3825,10.65,0,0.17,0,4
799,22,22000,3,0,1,0,VENTURE,A,6500,,0,0.3,0,4
800,25,22000,9,0,1,0,EDUCATION,A,5875,6.62,1,0.27,0,2
802,22,22000,0,0,1,0,MEDICAL,B,2400,11.71,0,0.11,0,3
803,24,22000,8,0,1,0,PERSONAL,A,8000,5.42,0,0.36,0,4
805,23,22000,5,0,1,0,DEBTCONSOLIDATION,A,1550,7.49,1,0.07,0,2
812,22,22000,6,0,1,0,PERSONAL,A,7200,7.14,0,0.33,0,2
825,23,22080,3,0,1,0,EDUCATION,A,6700,,0,0.3,0,4
829,25,22260,9,0,1,0,PERSONAL,A,6400,7.88,0,0.29,0,4
841,22,22800,5,0,1,0,PERSONAL,A,2000,7.51,0,0.09,0,3
842,22,22800,0,0,1,0,HOMEIMPROVEMENT,B,7125,11.71,1,0.31,0,3
843,23,22800,2,0,1,0,PERSONAL,A,3000,8.9,1,0.13,0,2
845,23,22800,3,0,1,0,PERSONAL,A,4800,5.79,0,0.21,0,2
851,22,22800,0,0,1,0,EDUCATION,A,3000,8.94,0,0.13,0,2
854,23,22884,4,0,1,0,EDUCATION,E,6000,16,0,0.26,0,2
856,22,23000,5,0,1,0,DEBTCONSOLIDATION,A,10625,7.51,0,0.46,0,4
857,21,23000,2,0,1,0,MEDICAL,A,7000,8.9,0,0.3,0,3
863,22,23000,2,0,1,0,DEBTCONSOLIDATION,B,4800,10,0,0.21,0,4
867,21,23000,6,0,1,0,DEBTCONSOLIDATION,C,3000,13.35,0,0.13,0,3
869,25,23000,,0,1,0,HOMEIMPROVEMENT,A,4400,6.76,0,0.19,0,2
880,22,23000,1,0,1,0,EDUCATION,A,2400,9.63,0,0.1,0,4
906,24,23500,2,0,1,0,DEBTCONSOLIDATION,B,7000,10.38,0,0.3,0,3
935,21,24000,0,0,1,0,VENTURE,A,3000,7.9,0,0.13,0,4
938,22,24000,5,0,1,0,EDUCATION,A,5000,7.9,0,0.21,0,2
942,22,24000,1,0,1,0,VENTURE,C,5000,14.65,1,0.21,0,4
948,22,24000,4,0,1,0,VENTURE,A,1300,5.42,0,0.05,0,3
951,25,24000,,0,1,0,DEBTCONSOLIDATION,A,5800,5.99,0,0.24,0,3
970,22,24000,2,0,1,0,DEBTCONSOLIDATION,B,5000,10.99,0,0.21,0,4
972,24,24000,3,0,1,0,MEDICAL,A,8000,5.99,0,0.33,0,4
1001,23,24000,5,0,1,0,MEDICAL,B,1375,11.11,1,0.06,0,4
1010,26,24000,10,0,1,0,MEDICAL,A,5000,7.66,1,0.21,0,3
1012,23,24000,1,0,1,0,EDUCATION,B,5600,9.63,0,0.23,0,3
1045,23,24000,1,0,1,0,DEBTCONSOLIDATION,D,2800,16.07,1,0.12,0,3
1048,24,24000,4,0,1,0,EDUCATION,D,8500,15.7,0,0.35,0,2
1049,26,24000,5,0,1,0,PERSONAL,C,2100,13.11,0,0.09,0,3
1051,26,24000,1,0,1,0,HOMEIMPROVEMENT,B,6000,10.99,0,0.25,0,4
1053,22,24000,6,0,1,0,MEDICAL,A,2500,7.14,0,0.1,0,2
1078,26,24000,5,0,1,0,PERSONAL,B,8000,9.76,0,0.33,0,3
1080,22,24000,2,0,1,0,EDUCATION,D,3975,13.87,0,0.17,0,3
1086,21,24000,2,0,1,0,EDUCATION,B,5000,8.7,0,0.21,0,2
1093,21,24396,2,0,1,0,VENTURE,D,4000,15.05,0,0.16,0,4
1107,22,24900,1,0,1,0,MEDICAL,C,5500,13.16,1,0.22,0,2
1112,23,24996,4,0,1,0,EDUCATION,B,5000,12.69,0,0.2,0,2
1152,21,25000,2,0,1,0,VENTURE,B,3600,9.91,0,0.14,0,4
1163,26,25000,10,0,1,0,MEDICAL,A,7000,6.99,0,0.28,0,2
1167,22,25000,4,0,1,0,EDUCATION,A,1800,8.49,0,0.07,0,2
1173,22,25000,0,0,1,0,HOMEIMPROVEMENT,B,3000,9.99,1,0.12,0,3
1186,24,25000,1,0,1,0,MEDICAL,B,4000,11.11,0,0.16,0,2
1202,24,25000,3,0,1,0,VENTURE,A,9000,7.14,0,0.36,0,4
1210,21,25000,6,0,1,0,PERSONAL,A,1000,7.51,0,0.04,0,3
1216,26,25000,0,0,1,0,MEDICAL,D,6250,15.31,1,0.25,0,4
1219,23,25000,0,0,1,0,PERSONAL,C,4750,13.57,0,0.19,0,2
1234,23,25000,4,0,1,0,MEDICAL,A,5000,9.32,0,0.2,0,2
1239,24,25000,3,0,1,0,DEBTCONSOLIDATION,A,7000,9.32,0,0.28,0,2
1242,26,25000,1,0,1,0,VENTURE,C,12000,12.09,1,0.48,0,2
1243,24,25000,1,0,1,0,MEDICAL,A,6500,,0,0.26,0,4
1245,24,25000,2,0,1,0,DEBTCONSOLIDATION,A,10000,8,0,0.4,0,2
1250,24,25040,1,0,1,0,VENTURE,A,5000,5.79,0,0.2,0,4
1256,22,25200,2,0,1,0,PERSONAL,A,7000,6.03,0,0.28,0,4
1261,23,25200,,0,1,0,MEDICAL,A,1200,7.49,0,0.05,0,3
1271,22,25200,7,0,1,0,MEDICAL,C,4000,12.73,1,0.16,0,2
1276,22,25200,1,0,1,0,PERSONAL,C,7000,13.92,0,0.28,0,3
1280,22,25200,0,0,1,0,MEDICAL,B,1000,11.48,1,0.04,0,3
1285,24,25344,5,0,1,0,MEDICAL,D,4000,16.49,1,0.16,0,3
1288,23,25480,7,0,1,0,PERSONAL,B,5000,9.99,0,0.2,0,3
1289,23,25500,2,0,1,0,DEBTCONSOLIDATION,C,7850,13.49,0,0.31,0,4
1290,22,25500,0,0,1,0,VENTURE,A,7000,6.99,0,0.27,0,2
1292,26,25500,8,0,1,0,HOMEIMPROVEMENT,C,5600,11.91,0,0.22,0,4
1299,24,25632,4,0,1,0,EDUCATION,B,1500,9.91,0,0.06,0,3
1305,22,25920,7,0,1,0,VENTURE,B,11325,10.65,0,0.44,0,3
1313,25,26000,3,0,1,0,EDUCATION,B,3825,11.71,0,0.15,0,2
1319,26,26000,7,0,1,0,HOMEIMPROVEMENT,B,7000,10.99,0,0.27,0,4
1320,26,26000,4,0,1,0,HOMEIMPROVEMENT,B,12000,,0,0.46,0,3
1322,23,26000,3,0,1,0,DEBTCONSOLIDATION,B,7800,10.59,0,0.3,0,4
1324,23,26000,7,0,1,0,MEDICAL,A,5000,7.91,0,0.19,0,2
1329,22,26000,4,0,1,0,PERSONAL,B,4000,9.25,0,0.15,0,2
1341,24,26000,8,0,1,0,MEDICAL,A,7000,7.74,0,0.27,0,2
1344,22,26000,2,0,1,0,EDUCATION,A,2000,7.4,0,0.08,0,2
1356,22,26000,3,0,1,0,PERSONAL,B,500,10.46,0,0.02,0,4
1358,25,26004,3,0,1,0,EDUCATION,B,10000,9.91,0,0.38,0,2
1359,22,26004,1,0,1,0,EDUCATION,A,5000,5.42,0,0.19,0,4
1361,26,26004,5,0,1,0,HOMEIMPROVEMENT,B,6000,11.99,0,0.23,0,2
1362,22,26004,4,0,1,0,EDUCATION,A,5000,7.49,0,0.19,0,2
1365,22,26004,6,0,1,0,PERSONAL,A,12000,7.88,1,0.46,0,4
1367,26,26004,2,0,1,0,HOMEIMPROVEMENT,B,10000,11.14,0,0.38,0,3
1378,24,26400,0,0,1,0,DEBTCONSOLIDATION,A,6000,8.9,0,0.23,0,4
1382,25,26400,1,0,1,0,HOMEIMPROVEMENT,A,7500,8.9,0,0.28,0,3
1389,22,26400,,0,1,0,HOMEIMPROVEMENT,A,1550,,1,0.06,0,2
1396,22,26400,,0,1,0,PERSONAL,B,1000,,1,0.04,0,2
1405,25,26400,1,0,1,0,HOMEIMPROVEMENT,B,4000,10.74,0,0.15,0,3
1415,22,26400,2,0,1,0,DEBTCONSOLIDATION,B,4400,11.49,0,0.17,0,4
1426,25,26453,6,0,1,0,MEDICAL,B,7200,11.71,1,0.27,0,4
1437,24,26650,6,0,1,0,MEDICAL,B,1000,12.53,0,0.04,0,2
1439,21,26784,,0,1,0,EDUCATION,A,2000,6.99,1,0.07,0,3
1442,22,26796,6,0,1,0,VENTURE,A,3000,8.32,0,0.11,0,3
1463,26,27000,,0,1,0,DEBTCONSOLIDATION,A,3000,5.79,0,0.11,0,3
1469,23,27000,,0,1,0,EDUCATION,B,4000,9.62,0,0.15,0,2
1476,26,27000,2,0,1,0,PERSONAL,D,3025,15.95,0,0.11,0,2
1485,24,27000,7,0,1,0,EDUCATION,B,10000,,0,0.37,0,2
1490,22,27000,1,0,1,0,EDUCATION,B,12000,,1,0.44,0,3
1491,22,27000,2,0,1,0,DEBTCONSOLIDATION,B,5000,12.18,0,0.19,0,4
1495,24,27000,1,0,1,0,DEBTCONSOLIDATION,B,7500,10.39,0,0.28,0,2
1510,26,27138,10,0,1,0,DEBTCONSOLIDATION,B,2750,9.63,0,0.1,0,2
1516,22,27302,6,0,1,0,MEDICAL,B,3725,12.69,0,0.14,0,2
1518,23,27350,5,0,1,0,VENTURE,B,1925,,0,0.07,0,3
1519,24,27360,5,0,1,0,PERSONAL,A,8000,7.29,0,0.29,0,3
1520,24,27442,8,0,1,0,DEBTCONSOLIDATION,B,5175,10.99,0,0.19,0,4
1521,25,27500,,0,1,0,EDUCATION,A,9000,7.49,0,0.33,0,4
1524,23,27500,7,0,1,0,EDUCATION,B,6300,,0,0.23,0,3
1535,25,27600,1,0,1,0,HOMEIMPROVEMENT,A,11500,6.03,1,0.42,0,4
1536,22,27600,6,0,1,0,DEBTCONSOLIDATION,A,8400,7.51,0,0.3,0,3
1543,23,27600,,0,1,0,EDUCATION,A,9800,7.29,0,0.36,0,4
1564,26,27983,7,0,1,0,DEBTCONSOLIDATION,A,6000,7.88,0,0.21,0,3
1576,22,27996,4,0,1,0,MEDICAL,D,3250,15.21,1,0.12,0,2
1577,22,27996,4,0,1,0,MEDICAL,B,5500,10.38,0,0.2,0,2
1584,21,27996,5,0,1,0,EDUCATION,A,10000,9.63,0,0.36,0,4
1593,25,28000,,0,1,0,MEDICAL,A,9600,6.03,0,0.34,0,3
1594,23,28000,7,0,1,0,DEBTCONSOLIDATION,D,9500,15.62,1,0.34,0,2
1595,23,28000,5,0,1,0,MEDICAL,A,2500,5.99,0,0.09,0,2
1602,22,28000,6,0,1,0,PERSONAL,B,10000,10.99,0,0.36,0,3
1607,26,28000,8,0,1,0,PERSONAL,A,4500,,1,0.16,0,2
1608,23,28000,2,0,1,0,VENTURE,B,8400,10.99,0,0.3,0,2
1614,23,28000,5,0,1,0,EDUCATION,A,4000,6.92,0,0.14,0,4
1616,22,28000,5,0,1,0,EDUCATION,A,8500,6.17,0,0.3,0,2
1618,23,28000,4,0,1,0,HOMEIMPROVEMENT,D,5225,14.84,1,0.19,0,2
1631,22,28000,1,0,1,0,DEBTCONSOLIDATION,B,10750,11.14,0,0.38,0,2
1634,25,28000,3,0,1,0,EDUCATION,A,5000,8,0,0.18,0,2
1637,25,28000,9,0,1,0,MEDICAL,A,4000,7.68,0,0.14,0,2
1652,23,28296,,0,1,0,PERSONAL,B,7000,,0,0.25,0,4
1656,24,28440,,0,1,0,MEDICAL,B,6000,9.99,0,0.21,0,3
1666,22,28500,1,0,1,0,DEBTCONSOLIDATION,A,8500,7.68,0,0.3,0,4
1671,21,28596,3,0,1,0,PERSONAL,A,2000,7.29,0,0.07,0,4
1674,23,28644,2,0,1,0,EDUCATION,B,10000,10.75,0,0.35,0,2
1676,21,28692,5,0,1,0,EDUCATION,B,3000,10.75,0,0.1,0,2
1678,21,28776,,0,1,0,EDUCATION,A,8000,8.9,0,0.28,0,4
1684,26,28800,2,0,1,0,VENTURE,A,5150,6.62,0,0.18,0,2
1693,24,28800,8,0,1,0,HOMEIMPROVEMENT,A,1400,8.9,1,0.05,0,3
1695,23,28800,6,0,1,0,MEDICAL,B,5000,11.99,0,0.17,0,3
1696,24,28800,6,0,1,0,DEBTCONSOLIDATION,A,6075,8.49,0,0.21,0,2
1697,24,28800,1,0,1,0,PERSONAL,B,3500,9.99,0,0.12,0,4
1699,23,28800,,0,1,0,MEDICAL,A,10625,,0,0.37,0,2
1703,22,28800,0,0,1,0,VENTURE,B,11500,,0,0.4,0,3
1704,22,28800,2,0,1,0,MEDICAL,A,10000,7.49,0,0.35,0,2
1706,21,28800,0,0,1,0,DEBTCONSOLIDATION,A,5000,7.49,0,0.17,0,3
1709,23,28800,0,0,1,0,MEDICAL,A,6000,7.49,0,0.21,0,2
1712,25,28800,,0,1,0,EDUCATION,A,1000,5.42,0,0.03,0,3
1718,23,28800,7,0,1,0,DEBTCONSOLIDATION,B,8400,9.63,0,0.29,0,3
1734,22,28800,,0,1,0,PERSONAL,B,14500,9.88,0,0.5,0,2
1736,25,28800,9,0,1,0,HOMEIMPROVEMENT,B,6250,10.25,0,0.22,0,2
1746,22,28880,4,0,1,0,MEDICAL,A,2000,8.59,0,0.07,0,3
1751,23,28989,0,0,1,0,EDUCATION,A,10000,8,0,0.34,0,2
1755,23,29000,5,0,1,0,DEBTCONSOLIDATION,A,11500,7.9,0,0.4,0,4
1758,21,29000,0,0,1,0,PERSONAL,B,4200,11.99,0,0.14,0,3
1762,26,29000,10,0,1,0,HOMEIMPROVEMENT,A,7200,8.49,0,0.25,0,4
1774,24,29000,1,0,1,0,HOMEIMPROVEMENT,B,20000,10.62,0,0.69,0,3
1781,23,29004,2,0,1,0,MEDICAL,B,6000,11.99,0,0.21,0,2
1782,22,29004,3,0,1,0,VENTURE,B,5000,9.25,0,0.17,0,4
1783,22,29004,6,0,1,0,EDUCATION,A,2500,6.91,0,0.09,0,3
1804,24,29200,6,0,1,0,PERSONAL,A,2500,6.76,0,0.09,0,2
1805,24,29232,1,0,1,0,PERSONAL,B,11000,11.71,1,0.38,0,4
1807,25,29328,9,0,1,0,DEBTCONSOLIDATION,A,10000,7.74,0,0.34,0,3
1829,22,29996,3,0,1,0,EDUCATION,C,5400,12.84,0,0.18,0,4
1835,25,30000,9,0,1,0,VENTURE,A,5000,6.03,0,0.17,0,3
1836,25,30000,4,0,1,0,DEBTCONSOLIDATION,C,6500,14.27,0,0.22,0,3
1845,21,30000,0,0,1,0,MEDICAL,A,7125,7.51,1,0.24,0,4
1849,25,30000,5,0,1,0,EDUCATION,B,3600,12.42,0,0.12,0,4
1857,21,30000,0,0,1,0,EDUCATION,B,2400,11.71,0,0.08,0,3
1869,23,30000,7,0,1,0,MEDICAL,A,4600,7.9,0,0.15,0,3
1870,25,30000,2,0,1,0,VENTURE,B,8000,10.65,0,0.27,0,4
1875,22,30000,3,0,1,0,HOMEIMPROVEMENT,C,10000,13.49,1,0.33,0,2
1876,23,30000,3,0,1,0,MEDICAL,E,3800,18.64,1,0.13,0,2
1877,21,30000,0,0,1,0,VENTURE,A,15000,7.51,0,0.5,0,4
1882,26,30000,10,0,1,0,VENTURE,A,6500,6.62,0,0.22,0,3
1887,21,30000,5,0,1,0,PERSONAL,A,7600,6.03,0,0.25,0,4
1890,23,30000,4,0,1,0,DEBTCONSOLIDATION,A,1000,6.62,1,0.03,0,3
1891,23,30000,8,0,1,0,VENTURE,A,4375,6.62,0,0.15,0,2
1892,23,30000,2,0,1,0,DEBTCONSOLIDATION,A,1400,6.03,0,0.05,0,4
1899,24,30000,8,0,1,0,DEBTCONSOLIDATION,B,17000,11.99,1,0.57,0,3
1905,23,30000,0,0,1,0,VENTURE,B,13000,,0,0.43,0,2
1930,25,30000,,0,1,0,EDUCATION,D,10625,16.49,0,0.35,0,4
1936,23,30000,2,0,1,0,VENTURE,B,1200,9.67,0,0.04,0,2
1937,22,30000,2,0,1,0,MEDICAL,B,6000,11.99,0,0.2,0,3
1939,22,30000,6,0,1,0,VENTURE,B,3000,11.49,0,0.1,0,2
1947,21,30000,6,0,1,0,PERSONAL,A,3000,5.99,0,0.1,0,4
1948,26,30000,5,0,1,0,HOMEIMPROVEMENT,B,2000,11.99,1,0.07,0,2
1950,22,30000,2,0,1,0,EDUCATION,B,13250,10.99,0,0.44,0,3
1960,23,30000,3,0,1,0,DEBTCONSOLIDATION,A,3800,5.79,0,0.13,0,3
1964,23,30000,6,0,1,0,PERSONAL,C,2400,,0,0.08,0,4
1973,22,30000,6,0,1,0,VENTURE,A,2000,5.42,0,0.07,0,2
1976,25,30000,,0,1,0,HOMEIMPROVEMENT,A,8000,6.92,0,0.27,0,3
1986,22,30000,0,0,1,0,EDUCATION,A,7000,7.29,0,0.23,0,3
1991,23,30000,6,0,1,0,EDUCATION,A,10000,7.66,0,0.33,0,3
1996,21,30000,5,0,1,0,VENTURE,B,6400,,0,0.21,0,3
1999,24,30000,,0,1,0,DEBTCONSOLIDATION,A,3075,,0,0.1,0,4
2003,22,30000,6,0,1,0,PERSONAL,C,2000,12.61,0,0.07,0,4
2008,24,30000,,0,1,0,HOMEIMPROVEMENT,A,8000,6.17,0,0.27,0,2
2021,23,30000,0,0,1,0,DEBTCONSOLIDATION,C,1000,13.72,0,0.03,0,4
2022,22,30000,3,0,1,0,EDUCATION,A,5000,6.91,0,0.17,0,3
